"order_id","id","parent_id","amount","error_code","kind","status","created_at"
"7675398239","8330669343","",44.57,"","authorization","success","2016-08-21"
"7675398239","8331258783","8330669343",0.0,"","void","success","2016-08-21"
"7676331935","8331688479","",124.55,"","authorization","success","2016-08-21"
"7676363167","8331722975","",97.68,"","authorization","success","2016-08-21"
"7676539359","8331919391","",131.1,"","authorization","success","2016-08-21"
"7676549855","8331930399","",91.12,"","authorization","success","2016-08-21"
"7676553055","8331934431","",75.0,"","authorization","success","2016-08-21"
"7676564127","8331948191","",94.4,"","authorization","success","2016-08-22"
"7676566815","8331950623","",34.31,"","authorization","success","2016-08-22"
"7676582495","8331968735","",168.0,"","authorization","success","2016-08-22"
"7676594463","8331969951","",108.6,"incorrect_zip","authorization","failure","2016-08-22"
"7676594463","8331976287","",108.6,"incorrect_zip","authorization","failure","2016-08-22"
"7676590623","8331978399","",56.16,"","authorization","success","2016-08-22"
"7676594463","8331982559","",108.6,"","authorization","success","2016-08-22"
"7676602079","8331991775","",114.71,"","authorization","success","2016-08-22"
"7676610719","8332001311","",34.31,"","authorization","success","2016-08-22"
"7676620191","8332012127","",45.24,"","authorization","success","2016-08-22"
"7676629791","8332022559","",56.16,"","authorization","success","2016-08-22"
"7676633503","8332026079","",112.97,"","authorization","success","2016-08-22"
"7676633695","8332026335","",78.01,"","authorization","success","2016-08-22"
"7676636959","8332029919","",121.27,"","authorization","success","2016-08-22"
"7676638943","8332032351","",145.0,"","authorization","success","2016-08-22"
"7676641375","8332035295","",34.31,"","authorization","success","2016-08-22"
"7676649887","8332045343","",45.24,"","authorization","success","2016-08-22"
"7676657695","8332054239","",32.0,"","authorization","success","2016-08-22"
"385469912573","436968429053","",138.0,"","sale","success","2017-03-26"
"7676658079","8332054815","",132.0,"","authorization","success","2016-08-22"
"7676672351","8332072735","",45.24,"","authorization","success","2016-08-22"
"7676906399","8332078623","",157.97,"","authorization","failure","2016-08-22"
"7676689567","8332092511","",34.31,"","authorization","success","2016-08-22"
"7676695775","8332099103","",61.63,"","authorization","success","2016-08-22"
"7676711455","8332116639","",151.86,"","authorization","success","2016-08-22"
"7676713759","8332119071","",113.62,"","authorization","success","2016-08-22"
"7676717215","8332122847","",168.25,"","authorization","success","2016-08-22"
"7676724895","8332131359","",138.7,"","authorization","success","2016-08-22"
"7676727455","8332135455","",113.62,"","authorization","success","2016-08-22"
"7676824287","8332252767","",133.29,"","authorization","success","2016-08-22"
"7676870751","8332308639","",100.0,"","authorization","success","2016-08-22"
"7676880287","8332320415","",52.0,"","authorization","success","2016-08-22"
"7676882847","8332323295","",210.97,"","authorization","success","2016-08-22"
"7676905311","8332351583","",56.16,"","authorization","success","2016-08-22"
"7676906399","8332352991","",157.97,"","authorization","success","2016-08-22"
"7676928287","8332379359","",67.0,"","authorization","success","2016-08-22"
"7676950559","8332405151","",157.97,"","authorization","success","2016-08-22"
"7676970591","8332426399","",76.0,"","authorization","success","2016-08-22"
"7676978527","8332430431","",103.0,"card_declined","authorization","failure","2016-08-22"
"7676978527","8332436319","",103.0,"","authorization","success","2016-08-22"
"7676989599","8332448287","",270.48,"","authorization","success","2016-08-22"
"7677033695","8332496671","",149.0,"","authorization","success","2016-08-22"
"7677036255","8332500063","",121.0,"","authorization","success","2016-08-22"
"7677053023","8332520287","",32.0,"","authorization","success","2016-08-22"
"7677060767","8332530079","",125.0,"","authorization","success","2016-08-22"
"7677579231","8333092447","",34.31,"","authorization","success","2016-08-22"
"7677083615","8332555423","",154.83,"","authorization","success","2016-08-22"
"7677109471","8332585695","",82.38,"","authorization","success","2016-08-22"
"7677147743","8332630751","",32.0,"","authorization","success","2016-08-22"
"7677148319","8332631135","",222.83,"","authorization","success","2016-08-22"
"7677160543","8332644447","",114.0,"incorrect_cvc","authorization","failure","2016-08-22"
"7677160543","8332646111","",114.0,"","authorization","success","2016-08-22"
"7677225439","8332687455","",145.0,"","authorization","success","2016-08-22"
"7677229151","8332691999","",77.0,"","authorization","success","2016-08-22"
"7677250015","8332716383","",32.0,"","authorization","success","2016-08-22"
"7677255135","8332723295","",165.83,"","authorization","success","2016-08-22"
"7677256863","8332725407","",45.24,"","authorization","success","2016-08-22"
"7677260575","8332729951","",52.0,"","authorization","success","2016-08-22"
"7677261663","8332731487","",158.0,"","authorization","success","2016-08-22"
"7677262943","8332732767","",182.0,"","authorization","success","2016-08-22"
"7677265375","8332735391","",32.0,"","authorization","success","2016-08-22"
"7677267935","8332738399","",45.0,"","authorization","success","2016-08-22"
"7677268639","8332739167","",32.0,"","authorization","success","2016-08-22"
"7677269023","8332739487","",112.0,"","authorization","success","2016-08-22"
"7677271455","8332741855","",65.0,"","authorization","success","2016-08-22"
"7677283935","8332756575","",226.0,"","authorization","success","2016-08-22"
"7677285855","8332758623","",107.97,"","authorization","success","2016-08-22"
"7677307359","8332786143","",42.0,"","authorization","success","2016-08-22"
"7677307487","8332786335","",87.0,"","authorization","success","2016-08-22"
"7677308703","8332788063","",49.0,"","authorization","success","2016-08-22"
"7677329375","8332812319","",229.85,"","authorization","success","2016-08-22"
"7677330079","8332813151","",34.31,"","authorization","success","2016-08-22"
"7677330271","8332813215","",126.73,"","authorization","success","2016-08-22"
"7677338463","8332822879","",113.62,"","authorization","success","2016-08-22"
"7677339999","8332824991","",45.24,"","authorization","success","2016-08-22"
"7677353119","8332840991","",132.0,"","authorization","success","2016-08-22"
"7677364639","8332853727","",45.0,"","authorization","success","2016-08-22"
"7677368287","8332858143","",268.0,"","authorization","success","2016-08-22"
"7677371871","8332862623","",72.55,"","authorization","success","2016-08-22"
"7677374943","8332865759","",100.0,"","authorization","success","2016-08-22"
"7677381087","8332872991","",87.0,"","authorization","success","2016-08-22"
"7677381471","8332873439","",124.55,"","authorization","success","2016-08-22"
"7677383711","8332876127","",32.0,"","authorization","success","2016-08-22"
"7677387807","8332881247","",119.0,"","authorization","success","2016-08-22"
"7677401823","8332897439","",103.0,"","authorization","success","2016-08-22"
"7677412447","8332909279","",91.12,"","authorization","success","2016-08-22"
"7677413279","8332910495","",131.1,"","authorization","success","2016-08-22"
"7677413919","8332911391","",179.17,"","authorization","success","2016-08-22"
"7677415647","8332913119","",94.4,"","authorization","success","2016-08-22"
"7677421151","8332919647","",65.0,"","authorization","success","2016-08-22"
"7677426655","8332925535","",331.0,"","authorization","success","2016-08-22"
"7677427807","8332927071","",121.0,"","authorization","success","2016-08-22"
"7677431007","8332930719","",136.8,"","authorization","success","2016-08-22"
