"id","product_id","product_style","sku","created_at","price"
"50547147871","12927633311","d510a563d66df17daf05e72a6af123b7","0ecbe4277237cb1207b31815166d37b9","2016-08-18",29.0
"50547117727","12927632095","dd804c4025d230467823200aa82e9219","f8e9bf1495c45676e8822e7ad4c97a93","2016-08-18",39.5
"4886503364093","375446050301","8f61ed9720d09c9303fbc0b3184d478d","ccf2a80ad99d9dc449fbd5a904210d2c","2016-11-14",24.0
"50547000415","12927625695","08ba660ec5643520a73108bef6f3ddd6","db1ea83c6299a2df5e39e420223fbd81","2016-08-18",25.0
"50547135135","12927632799","6056dc7fb0e6987bfb6d08a8a707446f","c4f9cdb1df7a9add57df53e34290cbeb","2016-08-18",31.5
"50553909407","12928059103","7e1dce2bdf896716eb83e57afd9d08c0","fa307f82d1fc211d25052786e00c0613","2016-08-18",34.0
"50547179743","12927634975","e3d8742f4eb202384d0ad5ab37e5298c","8920d00ceac66c67b4db4fd2d0519327","2016-08-18",36.4
"50548035423","12927690655","68ac90e5df73ae9b662174b21dc1586f","22de5caaa14c87f7341d5122bc6c757e","2016-08-18",17.5
"50553821919","12928053087","89d7f6a1960f60ab47a20579c4dadd71","cc0d26aede166cc1be972141164a41be","2016-08-18",26.0
"50547057631","12927629215","2c259a42d38f5f097274beff811168e2","bda8cdb7e30ed53aab5ab7260317d0bf","2016-08-18",35.0
"50553910815","12928059295","cfd48125e66631a2f0f2b07e97d59eea","6d9a0452810ae4d398c18985f9f43391","2016-08-18",34.0
"4886504576509","375446246909","53430ad7d28542b81250054e3937286d","2e004eee744c4500cc3c795499f543ca","2016-11-14",50.4
"50553845791","12928054559","413bc6aef9f9211126faa5aee4358375","4db54bbbab6ca5043a3cac1e3d6caa05","2016-08-18",19.0
"50553851871","12928055455","f970e5ee46f870060b22cd544a5aea5d","8a7d2ca92ff4c69337a43c0175bdaa08","2016-08-18",19.0
"4886505231869","375446312445","37d677bd61c0f62fc7b80cd82a9168bf","cb2bb7bf3836a3967c2c95c16aefecf3","2016-11-14",19.0
"50553858911","12928055775","f4e2e3c5433e4120889e2a7e0e0180a8","074c2233cde9fa10e43083dc7a470c08","2016-08-18",29.0
"4886505756157","375446443517","79408b7da5a413018b1e962ea4bcc72e","1320ebf374a7d8f6da3b96ad28789396","2016-11-14",22.4
"50553880927","12928057695","b2c4bbbca3f7f99bebf39d7a8c4ba0bf","f7b65e395414f037f11ba5f4cfa4a19e","2016-08-18",40.6
